"supervision_total","blackcard_total","ecommerce_total","order_count","total_price","city_id","gender","refund_fee","last_buytime","churn"
"0","0","499","1","499","3504","1","0","1607122820","0"
"0","0","14429","6","14429","4201","1","0","1622164303","0"
"0","0","2648","1","2648","3301","1","0","1597460407","0"
"0","0","14467","5","14467","4403","1","0","1620616268","0"
"0","0","1354","2","1354","1301","1","0","1603040449","0"
"0","0","1000","1","1000","4103","1","0","1620342671","0"
"0","0","1799","1","1799","0201","1","0","1614741102","0"
"0","0","1771","2","1771","4109",,"0","1615601499","0"
"0","0","6893","5","6893","3301",,"0","1621311060","0"
"0","0","1000","1","1000","6101",,"0","1620411086","0"
"0","0","10599","1","10599","3301",,"0","1621563096","0"
"0","0","1000","1","1000","3201",,"0","1616109099","0"
"0","0","3755","4","3755","4209",,"0","1620414675","0"
"0","0","300","1","300","3302",,"0","1597284048","0"
"0","0","6423","4","6423","4407",,"0","1617077479","0"
"0","0","1799","1","1799","0201",,"0","1618027863","0"
"0","0","245","1","245","2101",,"0","1600826456","0"
"0","0","7205","6","7205","4206",,"0","1618161098","0"
"0","0","189","1","189","3201",,"0","1617329500","0"
"0","0","433.44","1","433.44","6101",,"0","1620591116","0"
"0","0","2899","1","2899","4401",,"0","1622081497","0"
"0","0","3708","2","3708","3401",,"0","1617127871","0"
"0","0","2399","1","2399","1201",,"0","1606953655","0"
"0","0","3501","2","3501","5301","1","0","1623294685","0"
"0","0","1","1","1","0101","1","0","1609203615","0"
"0","0","17606","4","17606","5101","1","0","1623377469","0"
"0","0","1000","1","1000","3505","1","0","1620267095","0"
"0","0","701","2","701","0101","1","0","1619208677","0"
"0","0","1000","1","1000","4503","1","0","1615749097","0"
"0","0","4359","2","4359","5107","1","0","1611198688","0"
"0","0","1000","1","1000","4401","2","0","1623381101","0"
"0","0","140","1","140","4101","2","0","1620411068","0"
"0","0","5199","1","5199","4413","2","0","1616285468","0"
"0","0","2698","2","2698","4201","2","0","1623096710","0"
"0","0","2125","3","2125","4403","2","0","1607630449","0"
"0","0","40430","14","40430","5101","2","0","1623031869","0"
"0","0","9384","1","9384","4403","2","0","1605229214","0"
"0","0","6218","2","6218","3202","2","0","1617675088","0"
"0","0","1051","1","1051","5101","2","0","1623273119","0"
"0","0","599","1","599","4203","1","0","1620753097","0"
"0","0","1001","1","1001","5301","1","0","1623370299","0"
"0","0","3499","1","3499","0101","1","0","1607029204","0"
"0","0","5157","5","5157","4407","1","0","1619917896","0"
"0","0","599","1","599","1201","1","0","1597197628","0"
"0","0","4369","1","4369","5001","1","0","1604624451","0"
"0","0","1000","1","1000","3205","1","0","1620259897","0"
"0","0","1156","1","1156","0201","1","0","1623031887","0"
"0","0","3148","2","3148","4401","2","0","1605668410","0"
"0","0","20639","2","20639","5001","2","0","1618801882","0"
"0","0","129","1","129","5001","2","0","1606694434","0"
"0","0","9117","3","9117","3702","2","0","1622769109","0"
"0","0","399","1","399","3405","2","0","1603648855","0"
"0","0","1129","2","1129","3205","2","0","1620421915","0"
"0","0","1000","1","1000","4502","2","0","1620256298","0"
"0","0","2828","2","2828","4403","2","0","1615165880","0"
"0","0","3869","2","3869","3501","2","0","1622506319","0"
"0","0","16901","7","16901","3310","2","0","1623366676","0"
"0","0","3399","1","3399","4201","2","0","1605816016","0"
"0","0","7999","1","7999","4403","2","0","1620616266","0"
"0","0","798","2","798","4401","2","0","1603915240","0"
"0","0","3199","1","3199","0201","2","0","1597377628","0"
"0","0","3337","3","3337","0201","2","0","1621383083","0"
"0","0","4139","1","4139","0101","2","0","1614705069","0"
"0","0","4299","1","4299","4201","2","0","1622686260","0"
"0","0","14896","4","14896","4404","2","0","1617941463","0"
"0","0","2000","1","2000","3305","2","0","1622167898","0"
"0","0","848","1","848","4301","2","0","1618193490","0"
"0","0","69","1","69","1201","2","0","1606953624","0"
"0","0","1000","1","1000","5001","2","0","1616109082","0"
"0","0","2499","1","2499","4103","2","0","1617041515","0"
"0","0","1127","1","1127","3601","2","0","1605150025","0"
"0","0","1688","1","1688","3306","2","0","1618186301","0"
"0","0","2519","1","2519","4408","2","0","1622394676","0"
"0","0","3089","3","3089","0101","2","0","1602554449","0"
"0","0","2000","1","2000","5301","2","0","1621829505","0"
"0","0","681","1","681","3201","2","0","1600736435","0"
"0","0","3699","1","3699","3207","1","0","1615504296","0"
"0","0","1197","1","1197","3205","1","0","1623373873","0"
"0","0","20998","2","20998","3201","1","0","1621041094","0"
"0","0","1998","2","1998","2306","1","0","1615504313","0"
"0","0","15597","2","15597","0201","1","0","1622513489","0"
"0","0","578","1","578","3401","1","0","1623258690","0"
"0","0","2931","3","2931","4301","1","0","1622427094","0"
"0","0","4999","1","4999","2111","1","0","1615000293","0"
"0","0","1000","1","1000","4303","1","0","1620321101","0"
"0","0","3596","4","3596","4305","1","0","1623715909","0"
"0","0","10999","1","10999","4206","1","0","1617682265","0"
"0","0","1050","2","1050","0101","1","0","1623114708","0"
"0","0","1378","4","1378","3707","1","0","1611450660","0"
"0","0","1322","2","1322","6101","1","0","1622751118","0"
"0","0","2299","2","2299","3205","2","0","1621995070","0"
"0","0","1299","1","1299","3208","2","0","1602640807","0"
"0","0","1209","2","1209","4101","2","0","1608688835","0"
"0","0","2000","1","2000","4201","2","0","1617934310","0"
"0","0","1110","2","1110","3714","2","0","1609376424","0"
"0","0","1199","1","1199","4301","2","0","1623777117","0"
"0","0","4699","1","4699","4505","2","0","1621559479","0"
"0","0","3699","1","3699","4406","2","0","1615331494","0"
"0","0","11399","1","11399","5001","2","0","1618531890","0"
"0","0","15915","4","15915","5301","2","0","1620612677","0"
"0","0","21598","2","21598","4502","2","0","1621530671","0"
"0","0","15098","2","15098","4201","2","0","1621563066","0"
"0","0","2598","1","2598","3301","2","0","1618456274","0"
"0","0","8798","2","8798","0201","2","0","1618182702","0"
"0","0","3098","1","3098","6101","1","0","1622689917","0"
"0","0","9316","4","9316","3205","1","0","1623701479","0"
"0","0","1000","1","1000","4301","1","0","1623258712","0"
"0","0","7660","4","7660","5120","1","0","1623121916","0"
"0","0","3599","1","3599","5108","1","0","1604545223","0"
"0","0","2600","1","2600","3310","1","0","1601175658","0"
"0","0","2199","1","2199","3713","1","0","1608940807","0"
"0","0","8607","3","8607","4401","1","0","1617934302","0"
"0","0","1799","1","1799","3703","1","0","1608336018","0"
"0","0","189","1","189","3403","1","0","1617325895","0"
"0","0","11961","17","11961","4301","1","0","1610914306","0"
"0","0","664","1","664","3608","2","0","1615943481","0"
"0","0","5148","2","5148","0201","2","0","1622772710","0"
"0","0","1000","1","1000","3601","2","0","1615770689","0"
"0","0","3877","3","3877","0201","2","0","1621789868","0"
"0","0","1514","2","1514","0201","2","0","1608177634","0"
"0","0","2559","2","2559","6101","2","0","1600884047","0"
"0","0","698","1","698","3703","2","0","1620407497","0"
"0","0","1000","1","1000","3505","2","0","1620241901","0"
"0","0","9098","4","9098","0201","2","0","1623715870","0"
"0","0","7697","2","7697","3301","2","0","1609358402","0"
"0","0","4799","1","4799","5101","1","0","1623017488","0"
"0","0","1000","1","1000","0101","1","0","1622146283","0"
"0","0","526","2","526","3302","1","0","1602709204","0"
"0","0","598","1","598","5001","1","0","1623377477","0"
"0","0","3098","1","3098","4301","1","0","1622740309","0"
"0","0","218","1","218","3502","1","0","1620249107","0"
"0","0","300","1","300","3505","1","0","1610331117","0"
"0","0","1257","1","1257","4416","1","0","1620432703","0"
"0","0","138","1","138","6108","1","0","1615507886","0"
"0","0","699","1","699","4403","1","0","1605722400","0"
"0","0","2999","1","2999","3401","1","0","1622679080","0"
"0","0","4987","5","4987","3601","1","0","1601352035","0"
"0","0","1899","1","1899","4301","1","0","1621476685","0"
"0","0","7489","2","7489","5101","1","0","1621789911","0"
"0","0","4988","1","4988","3205","1","0","1604541632","0"
"0","0","4999","1","4999","0201","1","0","1622427060","0"
"0","0","1000","1","1000","4403","2","0","1617315093","0"
"0","0","2598","1","2598","3601",,"0","1618369911","0"
"0","0","4099","1","4099","3501",,"0","1615338693","0"
"0","0","1000","1","1000","4406",,"0","1614831114","0"
"0","0","728","1","728","3303",,"0","1620436284","0"
"0","0","6599","1","6599","3304",,"0","1615338664","0"
"0","0","4820","1","4820","3502",,"0","1621800683","0"
"0","0","3499","1","3499","0201",,"0","1621217463","0"
"0","0","599","1","599","6401",,"0","1620774703","0"
"0","0","17449","5","17449","3415",,"0","1616731882","0"
"0","0","1774","2","1774","5201",,"0","1623114662","0"
"0","0","1000","1","1000","4401",,"0","1620259870","0"
